STUNDE;HALBESTD;UMSATZ
0;0;1.350.536
0;1;1.042.857
1;0;816.879
1;1;624.521
2;0;505.077
2;1;400.592
3;0;322.212
3;1;276.985
4;0;287.722
4;1;267.306
5;0;313.711
5;1;557.553
6;0;896.787
6;1;1.569.201
7;0;2.032.991
7;1;2.567.857
8;0;2.764.182
8;1;2.881.210
9;0;2.768.482
9;1;2.659.374
10;0;2.391.805
10;1;2.393.734
11;0;2.244.245
11;1;2.455.106
12;0;2.486.511
12;1;2.452.687
13;0;2.344.058
13;1;2.507.919
14;0;2.520.312
14;1;2.609.662
15;0;2.528.092
15;1;2.339.379
16;0;2.086.130
16;1;1.969.838
17;0;2.324.705
17;1;2.737.663
18;0;3.082.725
18;1;3.244.332
19;0;3.286.802
19;1;3.231.427
20;0;3.137.086
20;1;3.030.914
21;0;3.032.462
21;1;2.989.622
22;0;2.872.787
22;1;2.630.686
23;0;2.362.849
23;1;2.008.819